ProductID,InvoiceDate,Sum of Quantity
P0001,2024-04-06 00:00:00,5
P0001,2024-04-24 00:00:00,7
P0001,2024-05-04 00:00:00,5
P0001,2024-05-20 00:00:00,2
P0001,2024-06-05 00:00:00,2
P0001,2024-06-29 00:00:00,1
P0001,2024-07-08 00:00:00,4
P0001,2024-07-18 00:00:00,3
P0001,2024-08-15 00:00:00,2
P0001,2024-09-08 00:00:00,1
P0001,2024-09-25 00:00:00,4
P0001,2024-10-28 00:00:00,2
P0001,2024-11-07 00:00:00,2
P0001,2024-12-11 00:00:00,4
P0001,2025-01-27 00:00:00,3
P0001,2025-02-23 00:00:00,3
P0001,2025-03-07 00:00:00,1
P0001,2025-04-19 00:00:00,2
P0001,2025-05-01 00:00:00,4
P0001,2025-05-31 00:00:00,2
P0001,2025-06-09 00:00:00,3
P0001,2025-07-16 00:00:00,5
P0001,2025-08-26 00:00:00,9
P0001,2025-09-05 00:00:00,3
P0001,2025-09-13 00:00:00,3
P0001,2025-10-27 00:00:00,3
P0001,2025-11-01 00:00:00,1
P0001,2025-11-16 00:00:00,3
P0001,2025-12-04 00:00:00,4
P0001,2025-12-09 00:00:00,1
P0001,2026-01-16 00:00:00,1
P0001,2026-02-01 00:00:00,2
P0001,2026-02-03 00:00:00,2
P0001,2026-03-02 00:00:00,1
P0001,2026-03-13 00:00:00,2
P0002,2024-04-14 00:00:00,1
P0002,2024-04-24 00:00:00,8
P0002,2024-05-10 00:00:00,2
P0002,2024-05-27 00:00:00,1
P0002,2024-06-09 00:00:00,2
P0002,2024-06-19 00:00:00,7
P0002,2024-07-10 00:00:00,3
P0002,2024-08-13 00:00:00,7
P0002,2024-08-18 00:00:00,8
P0002,2024-08-22 00:00:00,3
P0002,2024-08-30 00:00:00,8
P0002,2024-09-04 00:00:00,2
P0002,2024-09-19 00:00:00,4
P0002,2024-09-22 00:00:00,7
P0002,2024-10-08 00:00:00,3
P0002,2024-11-09 00:00:00,15
P0002,2024-11-27 00:00:00,3
P0002,2024-12-12 00:00:00,4
P0002,2025-01-04 00:00:00,4
P0002,2025-01-08 00:00:00,3
P0002,2025-01-11 00:00:00,6
P0002,2025-02-07 00:00:00,15
P0002,2025-02-24 00:00:00,8
P0002,2025-02-28 00:00:00,11
P0002,2025-03-02 00:00:00,1
P0002,2025-03-22 00:00:00,11
P0002,2025-03-30 00:00:00,7
P0002,2025-04-18 00:00:00,1
P0002,2025-04-20 00:00:00,10
P0002,2025-04-30 00:00:00,1
P0002,2025-05-03 00:00:00,2
P0002,2025-05-08 00:00:00,9
P0002,2025-05-12 00:00:00,6
P0002,2025-06-01 00:00:00,2
P0002,2025-06-28 00:00:00,11
P0002,2025-07-24 00:00:00,6
P0002,2025-09-08 00:00:00,8
P0002,2025-09-19 00:00:00,1
P0002,2025-10-05 00:00:00,3
P0002,2025-11-01 00:00:00,3
P0002,2025-11-03 00:00:00,13
P0002,2025-11-06 00:00:00,1
P0002,2025-11-07 00:00:00,6
P0002,2025-12-11 00:00:00,8
P0002,2026-02-05 00:00:00,2
P0002,2026-02-14 00:00:00,7
P0002,2026-02-19 00:00:00,3
P0002,2026-02-25 00:00:00,5
P0002,2026-03-14 00:00:00,19
P0002,2026-03-22 00:00:00,6
P0003,2024-10-04 00:00:00,4
P0003,2025-01-03 00:00:00,2
P0003,2025-02-21 00:00:00,3
P0003,2025-03-09 00:00:00,1
P0003,2025-04-11 00:00:00,1
P0003,2025-06-27 00:00:00,3
P0003,2025-07-07 00:00:00,3
P0003,2025-08-24 00:00:00,2
P0003,2025-09-01 00:00:00,3
P0003,2025-11-16 00:00:00,1
P0003,2025-12-20 00:00:00,4
P0003,2026-01-07 00:00:00,1
P0003,2026-01-28 00:00:00,3
P0003,2026-02-27 00:00:00,1
P0004,2024-08-09 00:00:00,2
P0004,2024-09-11 00:00:00,7
P0004,2024-11-18 00:00:00,4
P0004,2024-12-11 00:00:00,1
P0004,2025-01-01 00:00:00,1
P0004,2025-01-15 00:00:00,1
P0004,2025-04-06 00:00:00,4
P0004,2025-06-10 00:00:00,2
P0004,2025-07-05 00:00:00,4
P0004,2025-10-18 00:00:00,4
P0004,2025-10-28 00:00:00,3
P0004,2025-11-19 00:00:00,4
P0004,2026-02-01 00:00:00,3
P0004,2026-03-22 00:00:00,1
P0005,2024-04-14 00:00:00,13
P0005,2024-04-26 00:00:00,28
P0005,2024-06-25 00:00:00,9
P0005,2024-07-10 00:00:00,16
P0005,2024-08-03 00:00:00,15
P0005,2024-08-14 00:00:00,3
P0005,2024-08-24 00:00:00,16
P0005,2024-09-01 00:00:00,4
P0005,2024-09-23 00:00:00,1
P0005,2024-10-31 00:00:00,10
